Part Number,Quantity,Description
"PRODUCT_NAME_9","1",""
"PSU_Stabilizer","1",""
"PTFE","3",""
"PTFE (41mm)","1",""
"PTFE Tube","2",""
"Panasonic GX-H15A","1",""
"Panel","1",""
"Phaetus Dragonfly BMS","1",""
"RS-25 PSU Bracket","1",""
"Raspberry Pi","1",""
"Raspberry_Bracket","1",""
"Rear Cover","1",""
"Rear Panel","1",""
"Rubber Foot","4",""
"S6","1",""
"S6 Bracket","1",""
"SD","1",""
"SKR Bracket","1",""
"SKR Pro Bracket","1",""
"SKR+EXPMOT","1",""
"SKR-Pro","1",""
"SOLID","4",""
"SSR Mount Bracket","1",""
"Shaft-assembly","1",""
"Side Panel","2",""
"Spider","1",""
"Spider Bracket","1",""
"Spool Holder","1",""
"Spring Assembly","1",""
"Square Washer, Large","2",""
"Square Washer, Small","2",""
"Switch","1",""
"Tensioner A","1",""
"Tensioner B","1",""
"Thermal Fuse","1",""
"Top Panel","1",""
"VHB","12",""
"VHB Mount tape","1",""
"VORONDESIGN_XY-Endstop","1",""
"WAGO_221-415_mount-3x5","1",""
"XY Cable Chain Bridge - 2 Hole","1",""
"XY Cable Chain Bridge - 3 Hole","1",""
"XY Joint - Left","1",""
"XY Joint - Right","1",""
"Z Bearing Block Bottom","4",""
"Z Bearing Block Top","3",""
"Z Bearing Block Top HallEffect","1",""
"Z Belt","4",""
"Z Belt Clamp Lower","4",""
"Z Belt Clamp Upper","4",""
"Z Belt Cover A","2",""
"Z Belt Cover B","2",""
"Z Belt Drive A","2",""
"Z Belt Drive B","2",""
"Z Chain Lower Mount","1",""
"Z Idler A","2",""
"Z Idler B","2",""
"Z Motor Mount","4",""
"Z Tensioner 6mm","4",""
"Z Tensioner 9mm","4",""
"Z_Chain_Guide","1",""
"[a]_mini12864_case_front_insert","1",""
"bottom_panel_clip_x4","4",""
"bottom_panel_hinge_x2","2",""
"c-3-1609115-3-a","1",""
"chain_retainer_bracket","1",""
"corner_clip_4mm","4",""
"corner_clip_6mm","8",""
"corner_panel_clip_4mm","4",""
"door_hinge_x6","6",""
"midspan_clip_4mm","4",""
"midspan_clip_6mm","8",""
"midspan_panel_clip_4mm","3",""
"molex_0471510001","1",""
"molex_0473460001","1",""
"probe_bracket","1",""
"probe_bracket_9mm","1",""
"raspberry_pi_B_(RJ45)","1",""
"te_1-1734248-5","2",""
"x_carriage_frame_left","1",""
"x_carriage_frame_right","1",""
